DATE (UTC),Attributes,Values
,UI Setting - Acceleration Mode,"PERFORMANCE, 1.0"
,Usage Statistics - AM Radio usage (minutes),0
,"UI Setting - Cabin Temperature, Right Side",15
,UI Setting - Suspension Lowering Speed,0
,Air Conditioning - Manual Airflow Mode,"MANUAL, 1.0"
,Air Conditioning - On/Off,"ON, 1.0"
,"UI Setting - Cabin Temperature, Left Side",15
,Air Conditioning - Cabin Blower Manual Mode,"MANUAL, 1.0"
,Air Conditioning - Fresh Air Intake Mode,"FRESH_OFF_RECIRC, 1.0"
,Usage Statistics - XM Radio usage (minutes),0
,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
,UI Setting - Range Mode,0
,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
,Usage Statistics - FM Radio usage (minutes),0
48:50.0,Accelerator Pedal Position Sensor B (%),23.2
,Longitudinal Acceleration (m/s^2),1.1
,Accelerator Pedal Position Sensor A (%),23.2
,Steering Angle Sensor (degrees) (Positive indicates right turn),11.59
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.6
,Steering Torque Sensor (Nm) (Positive indicates right turn),2.18
,Lateral Acceleration (m/s^2),-0.35
,Vehicle Speed (mph) (Positive is forward direction),26
48:50.1,UI Request - Maximum Battery Power,"DRAGSTRIP_OFF, 0.0"
48:50.1,Odometer (Miles),26690.29
48:50.1,Air Conditioning - Fresh Air Intake Mode,"FRESH_OFF_RECIRC, 1.0"
,UI Setting - Suspension Lowering Speed,0
,Air Conditioning - Manual Airflow Mode,"MANUAL, 1.0"
,Air Conditioning - On/Off,"ON, 1.0"
,Usage Statistics - AM Radio usage (minutes),0
,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
,Usage Statistics - XM Radio usage (minutes),0
,UI Setting - Acceleration Mode,"PERFORMANCE, 1.0"
,"UI Setting - Cabin Temperature, Left Side",15
,UI Setting - Range Mode,0
,Usage Statistics - DAB Radio usage (minutes),0
,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
,Air Conditioning - Cabin Blower Manual Mode,"MANUAL, 1.0"
,Air Conditioning - Mode,"MANUAL, 1.0"
,"UI Setting - Cabin Temperature, Right Side",15
,Usage Statistics - FM Radio usage (minutes),0
48:50.2,Lateral Acceleration (m/s^2),-0.5
,Steering Torque Sensor (Nm) (Positive indicates right turn),1.72
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.6
,Accelerator Pedal Position Sensor B (%),23.2
,Vehicle Speed (mph) (Positive is forward direction),26.4
,Longitudinal Acceleration (m/s^2),1.1
,Accelerator Pedal Position Sensor A (%),23.2
,Steering Angle Sensor (degrees) (Positive indicates right turn),11.7
48:50.3,UI Request - Maximum Battery Power,"DRAGSTRIP_OFF, 0.0"
48:50.3,Odometer (Miles),26690.29
48:50.4,"UI Setting - Cabin Temperature, Right Side",15
,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
,UI Setting - Suspension Lowering Speed,0
,Air Conditioning - Manual Airflow Mode,"MANUAL, 1.0"
,Usage Statistics - AM Radio usage (minutes),0
,Usage Statistics - FM Radio usage (minutes),0
,Usage Statistics - DAB Radio usage (minutes),0
,Air Conditioning - Cabin Blower Manual Mode,"MANUAL, 1.0"
,Air Conditioning - Fresh Air Intake Mode,"FRESH_OFF_RECIRC, 1.0"
,Air Conditioning - On/Off,"ON, 1.0"
,UI Setting - Acceleration Mode,"PERFORMANCE, 1.0"
,"UI Setting - Cabin Temperature, Left Side",15
,UI Setting - Range Mode,0
,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
,Air Conditioning - Mode,"MANUAL, 1.0"
,Usage Statistics - XM Radio usage (minutes),0
48:50.5,Accelerator Pedal Position Sensor B (%),22.8
,Lateral Acceleration (m/s^2),-0.45
,Accelerator Pedal Position Sensor A (%),22.8
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.2
,Longitudinal Acceleration (m/s^2),1.04
,Steering Angle Sensor (degrees) (Positive indicates right turn),10.5
,Steering Torque Sensor (Nm) (Positive indicates right turn),1.59
,Vehicle Speed (mph) (Positive is forward direction),26.95
48:51.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),22.8
48:51.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),22.8
48:51.5,Lateral Acceleration (m/s^2),-0.1
,Steering Torque Sensor (Nm) (Positive indicates right turn),1.1
,Longitudinal Acceleration (m/s^2),0.7
,Accelerator Pedal Position Sensor A (%),20.8
,Vehicle Speed (mph) (Positive is forward direction),28.79
,Accelerator Pedal Position Sensor B (%),20.8
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),21.2
,Steering Angle Sensor (degrees) (Positive indicates right turn),6.4
48:52.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),20.8
48:52.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),20.8
48:52.5,Accelerator Pedal Position Sensor B (%),17.6
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),18
,Longitudinal Acceleration (m/s^2),0.25
,Accelerator Pedal Position Sensor A (%),17.6
,Lateral Acceleration (m/s^2),-1.04
,Steering Torque Sensor (Nm) (Positive indicates right turn),2.62
,Steering Angle Sensor (degrees) (Positive indicates right turn),17.7
,Vehicle Speed (mph) (Positive is forward direction),29.4
48:53.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),17.6
48:53.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),17.6
48:53.5,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),18
,Steering Torque Sensor (Nm) (Positive indicates right turn),1.84
,Longitudinal Acceleration (m/s^2),0.25
,Accelerator Pedal Position Sensor A (%),17.6
,Lateral Acceleration (m/s^2),-0.95
,Vehicle Speed (mph) (Positive is forward direction),29.9
,Accelerator Pedal Position Sensor B (%),17.2
,Steering Angle Sensor (degrees) (Positive indicates right turn),14.7
48:54.5,Accelerator Pedal Position Sensor A (%),17.2
,Vehicle Speed (mph) (Positive is forward direction),30.4
,Lateral Acceleration (m/s^2),-0.7
,Accelerator Pedal Position Sensor B (%),17.2
,Steering Torque Sensor (Nm) (Positive indicates right turn),1.76
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),17.6
,Longitudinal Acceleration (m/s^2),0.25
,Steering Angle Sensor (degrees) (Positive indicates right turn),11.09
48:55.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),18.39
48:55.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),18.39
48:55.5,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),18.8
,Accelerator Pedal Position Sensor B (%),18
,Lateral Acceleration (m/s^2),-0.6
,Accelerator Pedal Position Sensor A (%),18.39
,Steering Torque Sensor (Nm) (Positive indicates right turn),2.25
,Longitudinal Acceleration (m/s^2),0.35
,Vehicle Speed (mph) (Positive is forward direction),30.7
,Steering Angle Sensor (degrees) (Positive indicates right turn),13
48:56.5,Accelerator Pedal Position Sensor B (%),14
,Steering Torque Sensor (Nm) (Positive indicates right turn),2.35
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),14.8
,Longitudinal Acceleration (m/s^2),-0.04
,Accelerator Pedal Position Sensor A (%),14
,Lateral Acceleration (m/s^2),-0.89
,Steering Angle Sensor (degrees) (Positive indicates right turn),15.79
,Vehicle Speed (mph) (Positive is forward direction),30.9
48:57.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),14.4
,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),14.4
48:57.5,Accelerator Pedal Position Sensor A (%),12.4
,Vehicle Speed (mph) (Positive is forward direction),30.6
,Longitudinal Acceleration (m/s^2),-0.14
,Accelerator Pedal Position Sensor B (%),12
,Steering Torque Sensor (Nm) (Positive indicates right turn),1.76
,Steering Angle Sensor (degrees) (Positive indicates right turn),11.7
,Lateral Acceleration (m/s^2),-0.64
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),12.8
48:58.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),13.19
48:58.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),12.8
48:58.5,Lateral Acceleration (m/s^2),-0.6
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),12
,Accelerator Pedal Position Sensor A (%),11.6
,Accelerator Pedal Position Sensor B (%),11.19
,Steering Angle Sensor (degrees) (Positive indicates right turn),11.59
,Steering Torque Sensor (Nm) (Positive indicates right turn),1.67
,Vehicle Speed (mph) (Positive is forward direction),29.85
,Longitudinal Acceleration (m/s^2),-0.39
48:59.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),12
,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),11.6
48:59.5,Longitudinal Acceleration (m/s^2),-0.45
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.27
,Lateral Acceleration (m/s^2),-0.1
,Accelerator Pedal Position Sensor A (%),11.6
,Accelerator Pedal Position Sensor B (%),10.8
,Vehicle Speed (mph) (Positive is forward direction),28.79
,Steering Angle Sensor (degrees) (Positive indicates right turn),6.9
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),12
49:00.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),11.6
,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),11.19
49:00.5,Steering Angle Sensor (degrees) (Positive indicates right turn),7.59
,Vehicle Speed (mph) (Positive is forward direction),27.5
,Accelerator Pedal Position Sensor B (%),6.4
,Accelerator Pedal Position Sensor A (%),6.8
,Lateral Acceleration (m/s^2),-0.14
,Steering Torque Sensor (Nm) (Positive indicates right turn),1.51
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),7.59
,Longitudinal Acceleration (m/s^2),-0.85
49:01.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),7.59
49:01.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),6.8
49:01.5,Lateral Acceleration (m/s^2),-0.39
,Accelerator Pedal Position Sensor A (%),6.8
,Steering Angle Sensor (degrees) (Positive indicates right turn),11.2
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),6.8
,Steering Torque Sensor (Nm) (Positive indicates right turn),1.6
,Accelerator Pedal Position Sensor B (%),6
,Longitudinal Acceleration (m/s^2),-1.14
,Vehicle Speed (mph) (Positive is forward direction),25.04
49:02.2,"Autosteer State (Unavailable is recorded when Autosteer is not available, SNA is recorded when system state is not available)","UNAVAILABLE, 1.0"
49:02.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),6.8
49:02.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),6
49:02.5,Accelerator Pedal Position Sensor A (%),6
,Longitudinal Acceleration (m/s^2),-1.25
,Vehicle Speed (mph) (Positive is forward direction),22.25
,Steering Torque Sensor (Nm) (Positive indicates right turn),2.69
,Steering Angle Sensor (degrees) (Positive indicates right turn),23.59
,Accelerator Pedal Position Sensor B (%),5.2
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),6.4
,Lateral Acceleration (m/s^2),-0.75
49:03.0,"Autosteer State (Unavailable is recorded when Autosteer is not available, SNA is recorded when system state is not available)","AVAILABLE, 2.0"
49:03.0,"Autosteer State (Unavailable is recorded when Autosteer is not available, SNA is recorded when system state is not available)","UNAVAILABLE, 1.0"
49:03.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),6.4
49:03.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),5.59
49:03.5,Accelerator Pedal Position Sensor A (%),5.59
,Accelerator Pedal Position Sensor B (%),4.8
,Lateral Acceleration (m/s^2),-1.25
,Vehicle Speed (mph) (Positive is forward direction),19.29
,Steering Torque Sensor (Nm) (Positive indicates right turn),3.17
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),6
,Steering Angle Sensor (degrees) (Positive indicates right turn),42.09
,Longitudinal Acceleration (m/s^2),-1.45
49:04.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),10
,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),10.8
49:04.5,Longitudinal Acceleration (m/s^2),-0.79
,Steering Torque Sensor (Nm) (Positive indicates right turn),3.57
,Steering Angle Sensor (degrees) (Positive indicates right turn),94.2
,Accelerator Pedal Position Sensor A (%),11.19
,Vehicle Speed (mph) (Positive is forward direction),17.4
,Accelerator Pedal Position Sensor B (%),10.8
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),11.6
,Lateral Acceleration (m/s^2),-2.64
49:05.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),18
49:05.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),18
49:05.5,Longitudinal Acceleration (m/s^2),0.1
,Accelerator Pedal Position Sensor B (%),17.6
,Steering Angle Sensor (degrees) (Positive indicates right turn),91.29
,Accelerator Pedal Position Sensor A (%),17.6
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),18
,Vehicle Speed (mph) (Positive is forward direction),16.85
,Lateral Acceleration (m/s^2),-1.85
,Steering Torque Sensor (Nm) (Positive indicates right turn),2.45
49:05.7,Cruise Control Set Speed,54
49:06.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),18.8
,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),18.39
49:06.5,Steering Angle Sensor (degrees) (Positive indicates right turn),26.9
,Longitudinal Acceleration (m/s^2),0.5
,Vehicle Speed (mph) (Positive is forward direction),17.4
,Accelerator Pedal Position Sensor B (%),18.39
,Lateral Acceleration (m/s^2),-0.29
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.43
,Accelerator Pedal Position Sensor A (%),18.39
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),18.8
49:06.5,Auto Lane Change State,"ALC_AVAILABLE_ONLY_L, 6.0"
49:06.7,Auto Lane Change State,"ALC_AVAILABLE_ONLY_R, 7.0"
49:07.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),18.39
49:07.5,Accelerator Pedal Position Sensor A (%),15.6
,Accelerator Pedal Position Sensor B (%),15.6
,Vehicle Speed (mph) (Positive is forward direction),17.79
,Steering Angle Sensor (degrees) (Positive indicates right turn),-61.9
,Lateral Acceleration (m/s^2),2.35
,Steering Torque Sensor (Nm) (Positive indicates right turn),-3.39
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),16
,Longitudinal Acceleration (m/s^2),0
49:07.5,Auto Lane Change State,"ALC_UNAVAILABLE_NO_LANES, 1.0"
49:08.0,Auto Lane Change State,"ALC_AVAILABLE_ONLY_R, 7.0"
49:08.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),16.39
,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),16.39
49:08.5,Longitudinal Acceleration (m/s^2),0
,Accelerator Pedal Position Sensor A (%),16.8
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),17.2
,Accelerator Pedal Position Sensor B (%),16.8
,Vehicle Speed (mph) (Positive is forward direction),17.79
,Steering Angle Sensor (degrees) (Positive indicates right turn),-87.79
,Steering Torque Sensor (Nm) (Positive indicates right turn),-3.01
,Lateral Acceleration (m/s^2),2.35
49:09.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),17.6
49:09.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),18
49:09.5,Longitudinal Acceleration (m/s^2),0
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),18
,Steering Angle Sensor (degrees) (Positive indicates right turn),-96.7
,Accelerator Pedal Position Sensor A (%),17.2
,Accelerator Pedal Position Sensor B (%),17.2
,Steering Torque Sensor (Nm) (Positive indicates right turn),-3.76
,Lateral Acceleration (m/s^2),3
,Vehicle Speed (mph) (Positive is forward direction),18.29
49:09.6,Auto Lane Change State,"ALC_UNAVAILABLE_NO_LANES, 1.0"
49:10.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),17.6
49:10.5,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),15.19
,Lateral Acceleration (m/s^2),3.5
,Steering Angle Sensor (degrees) (Positive indicates right turn),-123.5
,Steering Torque Sensor (Nm) (Positive indicates right turn),-3.3
,Longitudinal Acceleration (m/s^2),-0.5
,Accelerator Pedal Position Sensor B (%),14.8
,Accelerator Pedal Position Sensor A (%),14.8
,Vehicle Speed (mph) (Positive is forward direction),18.35
49:11.3,Auto Lane Change State,"ALC_AVAILABLE_ONLY_R, 7.0"
49:11.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),17.2
49:11.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),17.2
49:11.4,Auto Lane Change State,"ALC_UNAVAILABLE_NO_LANES, 1.0"
49:11.5,Auto Lane Change State,"ALC_AVAILABLE_ONLY_R, 7.0"
49:11.5,Steering Angle Sensor (degrees) (Positive indicates right turn),-107.5
,Accelerator Pedal Position Sensor B (%),17.2
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),17.6
,Longitudinal Acceleration (m/s^2),0
,Steering Torque Sensor (Nm) (Positive indicates right turn),-3.31
,Lateral Acceleration (m/s^2),3.25
,Vehicle Speed (mph) (Positive is forward direction),18.29
,Accelerator Pedal Position Sensor A (%),17.2
49:11.7,Auto Lane Change State,"ALC_AVAILABLE_ONLY_L, 6.0"
49:12.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),17.6
